n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
4,entropy,,4,2,True,61,71.1780598460519,0.28321501014198786,0.6501746216530849
16,gini,log2,6,3,True,93,70.34714788193914,0.2901769371568029,0.6920838183934808
5,entropy,log2,6,3,False,19,69.17979303665189,0.2836492890995261,0.6967403958090803
7,entropy,,5,2,True,72,70.3420502625274,0.28613496932515337,0.6786961583236322
12,gini,auto,9,3,True,95,73.57903858897895,0.3004454042380888,0.6478463329452853
15,entropy,,6,4,True,96,70.78554315134832,0.28656790738204907,0.669965075669383
13,gini,sqrt,7,3,True,2,70.81103124840699,0.29098563645368997,0.6839348079161816
3,entropy,auto,19,4,False,86,83.47861548656778,0.2571625028650012,0.3265424912689173
3,entropy,sqrt,18,4,True,31,82.43870112657389,0.2551351351351351,0.34342258440046564
7,gini,sqrt,14,4,True,4,80.18555334658714,0.2941710550208825,0.47147846332945287
5,gini,,11,4,True,13,74.68522200132539,0.2907740645529849,0.5925494761350407
3,gini,,18,2,True,23,82.67319161951369,0.2554216867469879,0.3393480791618161
9,entropy,log2,13,2,True,61,79.71657236070754,0.2958768359582375,0.48661233993015135
4,gini,log2,13,2,True,48,77.72340317071928,0.29127473240350304,0.5227008149010477
11,entropy,,14,3,True,53,81.17449151246367,0.308556450102977,0.479627473806752
11,gini,log2,2,2,False,97,78.73273181424275,0.2880546075085324,0.4912689173457509
20,entropy,log2,2,3,False,63,68.81786205841873,0.28009885842061905,0.6926658905704307
12,gini,,7,3,False,62,71.69801702604883,0.29291900152827305,0.6693830034924331
9,gini,auto,10,4,True,92,73.39042667074476,0.2963062820167161,0.639697322467986
6,entropy,auto,15,2,True,7,81.57210582657899,0.2845834157925985,0.41850989522700816
14,gini,auto,6,4,True,3,70.78044553193659,0.2923456790123457,0.689173457508731
9,entropy,sqrt,19,3,True,45,86.24152520772799,0.2529753667312482,0.2660069848661234
1,entropy,sqrt,2,2,False,18,78.82448896365398,0.2867445054945055,0.4860302677532014
8,entropy,sqrt,9,4,True,10,72.74812662486619,0.29620853080568715,0.6548311990686845
6,gini,sqrt,12,3,True,2,77.24932456542794,0.3036355125604619,0.5663562281722934
13,gini,,11,4,False,76,75.68945302543713,0.2979537759458266,0.5890570430733411
5,gini,,7,4,True,90,70.52046694193812,0.28964500675592675,0.6862630966239813
14,gini,auto,12,2,True,21,78.54411989600857,0.31191760666993623,0.5552968568102444
2,entropy,log2,9,3,True,48,70.53575980017331,0.27858212680978534,0.6495925494761351
19,entropy,,6,2,False,42,70.83651934546566,0.292918057100482,0.689755529685681
12,gini,log2,4,2,False,90,67.94616913901208,0.27490774907749077,0.6938300349243306
11,entropy,,14,4,False,99,81.42427486363869,0.29652509652509657,0.4470314318975553
15,entropy,,18,4,False,63,86.3740633124331,0.26262068965517243,0.2770663562281723
16,gini,,8,4,True,82,71.88662894428302,0.2966458359903074,0.6769499417927823
17,gini,log2,3,4,False,40,72.99281235662946,0.28444084278768234,0.6129220023282888
18,entropy,log2,2,3,True,46,68.19085487077535,0.2691496837666901,0.6688009313154831
3,gini,auto,3,3,False,38,67.87990008665953,0.27599678271860284,0.6990686845168801
15,gini,,17,3,False,15,85.16592751185198,0.2786316311353495,0.32712456344586727
9,gini,auto,2,2,True,35,68.93000968547688,0.2500307616586686,0.5913853317811408
n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
6,entropy,auto,5,4,True,31,71.67762654840189,0.2854938271604938,0.6461001164144354
3,gini,sqrt,6,4,True,51,67.81872865371872,0.2724443932234643,0.6880093131548312
10,entropy,auto,8,3,False,53,71.48901463016772,0.2924731182795699,0.6728754365541327
8,gini,auto,10,2,True,6,73.70138145486058,0.2991441380247249,0.6408614668218859
10,gini,sqrt,13,4,True,1,78.83978182188918,0.3052719665271966,0.5308498253783469
4,entropy,auto,9,3,False,4,72.08543610134068,0.29469345698093763,0.6658905704307334
15,gini,,10,2,True,88,74.57817199367895,0.3000701754385965,0.6222351571594877
8,entropy,auto,13,4,True,8,79.70637712188407,0.29825489159175034,0.49243306169965073
17,gini,sqrt,4,2,False,82,70.61732171076108,0.28610354223433243,0.6722933643771828
13,gini,auto,13,3,False,34,79.48717948717949,0.30211585154353104,0.5069848661233993
4,gini,log2,6,4,True,73,69.7405311719427,0.2867099254986782,0.6944121071012805
12,entropy,log2,16,3,False,58,84.15150124891676,0.2811560693641618,0.3538998835855646
18,entropy,log2,2,3,False,8,78.82448896365398,0.2867445054945055,0.4860302677532014
20,entropy,log2,18,3,True,24,86.59326094713768,0.2645413870246085,0.27532013969732244
8,entropy,,20,2,False,31,87.34770862007443,0.24787878787878784,0.23806752037252618
16,gini,,14,2,False,70,81.33251771422746,0.305123339658444,0.4679860302677532
18,entropy,sqrt,18,4,True,43,86.86853239537136,0.2644203312392918,0.26949941792782306
19,entropy,,7,4,False,57,70.93847173370035,0.29346883132978063,0.689173457508731
11,gini,,11,2,True,25,75.99021257072947,0.30180847909872516,0.5925494761350407
7,entropy,log2,13,4,False,64,79.6808890248254,0.3029031129765652,0.5040745052386496
11,entropy,sqrt,5,3,False,91,69.18998827547536,0.28184410646387836,0.6903376018626309
1,entropy,sqrt,17,2,False,65,74.31309578426874,0.23150831172792435,0.4417927823050058
6,entropy,sqrt,12,4,True,52,77.93750318601214,0.29922279792746115,0.5378346915017462
8,entropy,log2,13,4,True,31,79.10995565071111,0.3013978861234231,0.5145518044237486
5,entropy,sqrt,20,4,False,11,85.73176326655452,0.251003478726251,0.2729918509895227
16,gini,sqrt,11,4,True,22,75.8780649436713,0.3065650644783119,0.6088474970896391
14,gini,log2,5,2,False,65,70.14834072488148,0.2832313341493268,0.6734575087310827
11,gini,log2,4,3,False,7,68.02263343018811,0.27521663778162914,0.6932479627473807
9,entropy,log2,19,3,True,85,86.6391395218433,0.2577173605210988,0.2648428405122235
7,gini,,16,2,False,11,83.1880511800989,0.27643703378674855,0.36670547147846333
12,entropy,,8,4,False,3,72.0446551460468,0.2965623396613648,0.6728754365541327
16,gini,sqrt,11,4,True,42,76.35724116837437,0.30568862275449105,0.5942956926658906
15,gini,sqrt,12,3,True,63,78.12101748483458,0.3081882656350741,0.5564610011641443
14,gini,sqrt,16,2,True,74,83.99347504715297,0.29533213644524237,0.3830034924330617
9,gini,auto,10,2,True,21,73.83901717897741,0.29660087719298245,0.629802095459837
8,entropy,,8,4,True,70,72.11602181781109,0.29053177691309984,0.6519208381839348
2,gini,auto,17,2,True,18,83.61115359127288,0.21451258245785487,0.25552968568102447
16,entropy,sqrt,15,3,False,37,82.84141306010093,0.30078936435396764,0.4214202561117579
9,entropy,sqrt,5,3,False,60,69.32252638018046,0.28134702651062815,0.6856810244470314
n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
19,gini,log2,13,2,True,86,79.74715807717796,0.30675274821148146,0.5116414435389989
7,gini,log2,20,2,True,59,86.47601570066779,0.2448050099629946,0.25029103608847497
n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
15,entropy,auto,3,2,True,27,69.86797165723607,0.2762336231174238,0.6565774155995343
5,gini,sqrt,19,4,True,50,85.14553703420502,0.2395615866388309,0.2671711292200233
7,entropy,sqrt,7,2,False,65,70.3267574042922,0.2886471954051082,0.6874272409778812
16,entropy,,7,3,False,14,70.52046694193812,0.2927724104194693,0.6967403958090803
13,gini,sqrt,6,4,True,67,69.638578783708,0.28516562650024,0.6915017462165308
9,gini,,9,2,False,73,72.21287658663404,0.2963727894668904,0.6682188591385332
17,gini,,5,3,False,80,69.27155018606311,0.2845953002610966,0.6979045401629802
12,entropy,sqrt,14,4,True,53,80.60865575776113,0.30634573304157553,0.4889406286379511
11,gini,log2,1,4,False,11,75.03186012132335,0.261236802413273,0.5040745052386496
14,entropy,sqrt,13,2,True,2,80.25692001835142,0.30925628678437667,0.5046565774155995
11,gini,log2,20,4,False,32,87.65866340419024,0.23555415219450584,0.2171129220023283
5,gini,auto,17,2,False,36,83.51429882244992,0.2778025904421617,0.3620488940628638
4,gini,sqrt,1,4,True,85,73.8645052760361,0.25878270926702324,0.5209545983701979
9,entropy,sqrt,13,2,True,88,78.7684151501249,0.2908224076281287,0.4970896391152503
8,entropy,,17,2,True,24,85.32905133302748,0.2754279959718026,0.31839348079161817
12,gini,auto,1,4,True,58,72.82968853545394,0.2557944708182072,0.5331781140861467
16,entropy,sqrt,20,2,True,86,87.96452056889433,0.24156761965949247,0.21885913853317812
8,entropy,auto,19,3,False,80,86.39955140949176,0.2572383073496659,0.2689173457508731
7,gini,,8,3,False,67,72.34541469133914,0.29918615165999224,0.6740395809080326
2,gini,log2,14,2,True,39,79.25268899423969,0.25838192419825073,0.4126891734575087
11,entropy,,13,3,True,54,78.75312229188968,0.30254350736278446,0.5261932479627474
12,gini,log2,4,3,True,38,71.16786460722842,0.2831432192648923,0.6501746216530849
11,gini,sqrt,15,3,True,55,82.06657490951726,0.2975239616613418,0.43364377182770664
13,gini,auto,5,2,False,35,69.49074782076771,0.28451882845188287,0.6926658905704307
19,gini,log2,1,2,True,63,73.8645052760361,0.25878270926702324,0.5209545983701979
7,entropy,auto,20,4,True,70,86.990875261253,0.25684333139196275,0.25669383003492435
10,entropy,log2,3,2,False,37,67.73716674313096,0.2747794201902143,0.6979045401629802
7,entropy,log2,5,3,True,23,71.13727889075801,0.29083166332665333,0.6757857974388825
15,entropy,sqrt,3,3,True,29,66.95723097313555,0.2733183856502242,0.7095459837019791
17,gini,auto,12,2,False,46,78.50843656012641,0.30383091149273445,0.5355064027939465
16,entropy,log2,10,4,True,24,74.64953866544323,0.3024267078131575,0.6274738067520372
18,gini,sqrt,3,4,False,61,70.66829790487841,0.27164556962025316,0.6245634458672875
16,entropy,log2,5,2,True,73,71.68782178722537,0.289769820971867,0.659487776484284
19,gini,log2,6,3,True,59,70.05658357547026,0.289034132171387,0.6949941792782305
9,gini,auto,18,2,True,58,86.09369424478768,0.2717565403096636,0.29627473806752036
4,gini,log2,15,3,True,74,81.34781057246266,0.2818449460255152,0.4179278230500582
10,gini,log2,11,2,False,65,75.91884589896519,0.30262769412459406,0.5966239813736903
7,gini,log2,14,4,False,25,79.96125809247083,0.2976594604252278,0.4848661233993015
16,entropy,sqrt,8,2,True,36,71.99367895192945,0.2947368421052632,0.6682188591385332
n_estimators,criterion,max_features,max_depth,min_samples_split,bootstrap,random_state,accuracy_score,f1_score,recall_score
20,entropy,,9,2,False,97,73.08966712545242,0.29828525854047583,0.6530849825378346
13,entropy,,19,3,False,90,87.61788244889637,0.25330464186904394,0.239813736903376
3,gini,sqrt,12,2,True,2,74.6291481877963,0.28192180060597316,0.5686845168800931
15,entropy,log2,3,3,True,87,67.9053881837182,0.27482146970744065,0.6944121071012805
18,entropy,sqrt,6,2,False,58,71.03532650252332,0.2888610763454318,0.6717112922002328
16,gini,log2,6,4,False,90,70.06677881429373,0.28755156515408886,0.689755529685681
17,gini,auto,8,2,True,7,71.77448131722485,0.2958158463690703,0.6769499417927823
6,entropy,,3,3,False,39,68.93000968547688,0.27980621529008626,0.689173457508731
6,entropy,log2,16,2,False,27,83.33078452362747,0.28602620087336245,0.38125727590221187
3,gini,sqrt,18,3,False,54,83.2033440383341,0.2646730640482035,0.34516880093131547
8,entropy,log2,13,4,True,54,79.51266758423816,0.29921534437663466,0.49941792782305006
20,entropy,,8,3,True,16,71.92231228016517,0.29655172413793107,0.6757857974388825
20,entropy,log2,6,2,False,59,71.56547892134373,0.29177247333671913,0.6688009313154831
2,gini,sqrt,3,4,True,3,69.28684304429831,0.25368512325034065,0.5960419091967404
2,gini,sqrt,20,2,False,33,87.05714431360555,0.18491171749598714,0.16763678696158324
10,entropy,sqrt,8,2,True,83,72.07014324310546,0.29584886261405985,0.669965075669383
8,entropy,,9,3,False,21,73.03359331192333,0.29654255319148937,0.6490104772991852
3,gini,,5,2,False,63,67.29877147372177,0.28074896288821616,0.7287543655413271
13,gini,auto,5,3,True,19,68.49671203547943,0.2845566103264644,0.7153667054714785
14,gini,sqrt,15,4,False,82,82.69867971657237,0.29555832295558326,0.41443538998835855
9,entropy,sqrt,19,4,False,14,86.70031095478411,0.2539319416642836,0.25844004656577413
9,entropy,sqrt,5,3,True,79,70.04638833664679,0.28948004836759367,0.6967403958090803
16,entropy,log2,1,2,False,49,73.3394504766274,0.2656557146868857,0.5506402793946449
15,entropy,sqrt,19,2,False,3,87.43946576948565,0.2582781456953643,0.24970896391152503
15,entropy,auto,16,3,False,46,83.8048631289188,0.29572156949678563,0.3882421420256112
3,entropy,log2,12,3,True,62,75.96982209308253,0.2894181489297558,0.5587892898719441
5,entropy,log2,6,3,True,49,70.98944792781771,0.2869314622227791,0.6664726426076834
9,entropy,,14,3,True,78,80.34867716776265,0.29511793746571585,0.46973224679860304
9,gini,,12,4,True,39,77.11678646072284,0.3034910783553142,0.5692665890570431
16,gini,,15,3,True,48,82.79553448539532,0.3010975357216815,0.4231664726426077
4,entropy,,2,3,True,42,78.82448896365398,0.2867445054945055,0.4860302677532014
5,gini,sqrt,13,4,True,93,79.49227710659123,0.2933427015633234,0.4860302677532014
3,gini,log2,5,2,False,26,67.2732833766631,0.277027027027027,0.7159487776484285
15,entropy,sqrt,13,2,True,42,80.12438191364633,0.30362564743704235,0.4947613504074505
8,entropy,log2,7,2,True,20,71.35647652546261,0.29240649792217605,0.6757857974388825
11,gini,sqrt,15,2,True,13,82.97904878421777,0.29838201302794704,0.41327124563445866
13,gini,,3,3,False,20,68.389662027833,0.27072797836057866,0.669965075669383
8,entropy,log2,6,2,True,72,69.7711168884131,0.2855421686746988,0.689755529685681
6,gini,,6,2,True,76,71.36667176428608,0.28997598280874737,0.6676367869615832
